date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:56	193069/193069	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2010:58:52%20GMT	https://dermatologia.votonbr.com/	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/index.html	(from )
17:09:57	119/119	---M-Z	200	added ('OK')	text/plain	date:Wed,%2021%20May%202025%2020:09:57%20GMT	https://dermatologia.votonbr.com/robots.txt		(from )
17:09:57	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Wed,%2021%20May%202025%2020:09:57%20GMT	https://dermatologia.votonbr.com/wp-admin/admin-ajax.php	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-admin/admin-ajax.php	(from https://dermatologia.votonbr.com/)
17:09:59	0/0	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20May%202025%2020:09:59%20GMT	https://dermatologia.votonbr.com/wp-admin/admin-post.php	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-admin/admin-post.html	(from https://dermatologia.votonbr.com/)
17:09:59	48942/48942	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202025%2020:07:45%20GMT	http://dermatologia.votonbr.com/wp-content/uploads/theplus-addons/theplus-post-12.min.css?ver=1703899320	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/theplus-addons/theplus-post-12.min6f78.css	(from https://dermatologia.votonbr.com/)
17:09:59	93438/93438	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:28%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/theplus_elementor_addon/assets/css/extra/iconsmind.min.css?ver=1703901868	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/theplus_elementor_addon/assets/css/extra/iconsmind.min9a68.css	(from https://dermatologia.votonbr.com/)
17:09:59	5745/5745	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2003:18:55%20GMT	https://dermatologia.votonbr.com/wp-content/themes/hello-elementor/style.min.css?ver=2.7.1	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/themes/hello-elementor/style.min653d.css	(from https://dermatologia.votonbr.com/)
17:10:00	1081/1081	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2002%20May%202024%2015:12:43%20GMT	https://dermatologia.votonbr.com/feed/	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/feed/index.html	(from https://dermatologia.votonbr.com/)
17:10:00	12285/12285	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20May%202023%2003:18:55%20GMT	https://dermatologia.votonbr.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/themes/hello-elementor/theme.min653d.css	(from https://dermatologia.votonbr.com/)
17:10:00	765/765	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2002%20May%202024%2015:12:43%20GMT	https://dermatologia.votonbr.com/dermatologia/feed/	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/dermatologia/feed/index.html	(from https://dermatologia.votonbr.com/)
17:10:00	117332/117332	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Dec%202023%2023:31:19%20GMT	https://dermatologia.votonbr.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.1	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/plugins/elementor/assets/css/frontend-lite.min110d.css	(from https://dermatologia.votonbr.com/)
17:10:00	2139/2139	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20May%202024%2015:09:24%20GMT	https://dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-9.css?ver=1714662564	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-9609e.css	(from https://dermatologia.votonbr.com/)
17:10:00	413/413	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Dec%202023%2023:31:19%20GMT	https://dermatologia.votonbr.com/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min.css?ver=3.18.1	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min110d.css	(from https://dermatologia.votonbr.com/)
17:10:01	16223/16223	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:28%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=1703901868	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min9a68.css	(from https://dermatologia.votonbr.com/)
17:10:01	11608/11608	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Dec%202023%2023:32:09%20GMT	https://dermatologia.votonbr.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.17.1	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min5d63.css	(from https://dermatologia.votonbr.com/)
17:10:01	81180/81180	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2023:26:15%20GMT	https://dermatologia.votonbr.com/wp-content/uploads/elementor/css/global.css?ver=1703633175	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/elementor/css/global96e4.css	(from https://dermatologia.votonbr.com/)
17:10:01	150669/150669	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2001:22:00%20GMT	https://dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-12.css?ver=1703899320	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-126f78.css	(from https://dermatologia.votonbr.com/)
17:10:01	5398/5398	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2001:34:05%20GMT	https://dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-2813.css?ver=1703900045	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-281312eb.css	(from https://dermatologia.votonbr.com/)
17:10:02	13470/13470	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2023:26:16%20GMT	https://dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-2697.css?ver=1703633176	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-2697facb.css	(from https://dermatologia.votonbr.com/)
17:10:02	20629/20629	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2023:26:16%20GMT	https://dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-2600.css?ver=1703633176	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/uploads/elementor/css/post-2600facb.css	(from https://dermatologia.votonbr.com/)
17:10:02	124926/124926	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:29%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=1703901869	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons4b3d.css	(from https://dermatologia.votonbr.com/)
17:10:02	3001/3001	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:29%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit/modules/parallax/assets/css/style.css?ver=1703901869	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit/modules/parallax/assets/css/style4b3d.css	(from https://dermatologia.votonbr.com/)
17:10:03	446130/446130	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:32%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1703901872	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles3753.css	(from https://dermatologia.votonbr.com/)
17:10:03	383963/383963	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:34%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit/widgets/init/assets/css/widget-styles-pro.css?ver=1703901874	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit/widgets/init/assets/css/widget-styles-pro63cd.css	(from https://dermatologia.votonbr.com/)
17:10:05	30299/30299	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202023%2002:04:34%20GMT	https://dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=1703901874	C:/Users/ricar/Downloads/Lineea/LineeaEstetica/dermatologia.votonbr.com/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive63cd.css	(from https://dermatologia.votonbr.com/)
